,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-01,983367.41251,831053.8837100001,225439.3148,248748.72008,477648.09447,8527.83027
2020-02,1385795.2716099997,875159.2173999998,200076.93141999998,242414.25258000003,500230.01277000003,9438.358129999999
2020-03,1484380.28603,968384.4408700003,242968.21054999996,259708.91519000003,544444.96845,10566.972270000002
2020-04,1368601.4712800006,888756.8092499999,180565.45257000008,248704.79247999995,546939.7263999998,10704.52322
2020-05,1338144.7023199992,864659.3161000004,194123.19797999994,256820.86656999995,499036.60796000017,8624.168209999996
2020-06,1256715.1011300003,1364765.9104300002,211305.51474,252099.52405000012,526441.26541,10460.873160000003
2020-07,1281959.1896400005,983626.9522199994,244478.84048,304631.4779899998,481655.46658000024,11057.62618
2020-08,1618300.51389,866993.68475,329098.74829,267559.6650800002,473333.59707999974,11285.942989999996
2020-09,1491702.23759,1050505.1085,732512.5066000002,284058.3552300001,529606.7512299996,11739.719819999998
2020-10,1595661.0565900002,1271411.3373399992,181973.96369999973,282093.1017499999,500144.50005000085,11677.250670000009
2020-11,1441949.9894499984,1109373.0035200007,561853.2204500004,291290.50385,577346.0235200003,12462.518800000005
2020-12,3350835.0068700016,1701616.3227999993,-259250.49496000027,484792.41642999975,646274.0771499993,19479.940769999987
2021-01,1158649.52614,829661.1557400001,199766.35109,275865.47319,480467.96606,12477.90443
2021-02,1384715.3154300002,1020352.0228799998,216208.74364999996,270932.13663,533737.20351,11949.127599999998
2021-03,1564420.3011499997,1017107.5989200003,207600.01194,300202.32722999994,529490.7085899998,14141.448070000002
2021-04,1610958.0028000008,999643.2678899998,221725.16211000003,280080.03262000007,543812.2865700002,13007.766300000003
2021-05,1593268.0203799997,1013363.1576000005,203599.53442999988,263717.21864999994,526085.8250999998,12279.585239999993
2021-06,1517556.0036700005,1525563.5540699996,224141.3992900001,280669.0446400002,475009.55599000026,14669.708290000002
2021-07,1533013.9992699996,964036.2123299995,231010.13601000002,274354.97525999974,548566.72969,12923.780070000008
2021-08,1380094.9176899996,882348.465210001,206926.39714999986,259956.7788800001,538157.2942599999,12519.945439999996
2021-09,1549569.5611199997,916136.0133499978,237964.67188000004,292397.3335500001,692634.3135599997,12558.624840000004
2021-10,1717557.1608000007,992799.6240500025,215594.84979000012,279687.56652999995,598492.258080001,12284.079099999988
2021-11,1715926.2501400001,992244.9894699994,235089.11846000003,297421.6448599999,659540.3101499993,11378.798899999994
2021-12,4843669.147060001,1279024.919209998,385192.47095,557591.95841,1051796.2641500002,20787.627340000006
2022-01,1289728.2238,865595.98764,211329.85819,303744.97487000003,600001.26712,11170.03264
2022-02,1731840.42622,960160.2729200001,451434.53774999996,686466.13882,690809.6583399998,10438.58404
2022-03,1949020.5741000003,2225943.4985100003,152248.46972000005,431702.97929000016,713595.7058200003,13523.494920000005
2022-04,1900069.6161599997,1039140.7558800005,194935.36460999993,280729.9339399999,494327.56259,9583.670349999993
2022-05,1447944.2014000006,1038414.8542799987,183477.6476400001,337552.81557999994,586481.0431900001,9699.505040000004
2022-06,2202197.7918999996,1159881.4903000006,191344.78716000007,312446.81978999986,496561.58768999996,10706.104590000003
2022-07,1082051.9426600002,1543969.942160001,208467.5137199997,327066.53170000017,486765.57712000003,10735.15305999999
2022-08,1603900.3746799994,1084961.5640599988,242771.57931000018,301040.5519699999,595964.8590900004,9404.240409999999
2022-09,1870700.0251899995,1086678.195390001,470994.02663,313004.4514799998,859702.3881499991,8548.167890000012
2022-10,1970981.1726300009,1357064.9572699983,219361.06033999985,309354.0243200003,667225.2556600003,8847.96144
2022-11,1968448.416579999,1109804.763940001,221231.26839000033,323701.2282499997,589071.0432699993,9545.098270000002
2022-12,3216903.7053700015,1895045.35458,338451.29827999976,366992.21652000025,1362925.9796100007,8509.775049999997
2023-01,1366921.09596,913808.18699,195008.00057,398936.27948,530877.00592,7833.16025
2023-02,1601981.2578499997,1143802.17344,329658.0831599999,347328.07013999997,651463.50249,8460.327130000001
2023-03,2001004.4641799997,1455607.0367900003,388916.46213,387724.94042999996,646320.14004,8723.488220000001
2023-04,2072628.2200500006,1383344.1564000002,254975.00738000008,356915.77919000015,621775.4382900002,8826.478489999998
2023-05,1826308.0455899993,1169743.7272999994,225701.82065999997,362529.4948999998,757400.9742399999,8320.43634
2023-06,2326938.685830001,1206652.22449,267376.9154999999,365084.3520800001,336500.4133199998,8326.940520000004
2023-07,1823061.1187699996,1201134.9859000007,277963.6814100002,349200.30507999985,567558.0545000001,32763.667659999992
2023-08,1986685.768500002,1190363.3970299996,224185.6909700001,350802.1820200002,523018.5974599994,8506.335019999999
2023-09,2121026.2805299964,1264829.9716599993,362082.67249999987,351548.4813199998,389869.95731000043,8825.135840000003
2023-10,1872703.4951100014,1317937.8533300012,305469.8786800001,366750.4472000003,510414.19162000064,8175.649640000003
2023-11,2011396.795979999,1367231.1710199993,288122.98693999974,375977.1442999998,564437.322639999,8471.367759999994
2023-12,3361854.36211,1981137.96153,436741.3031700002,453289.92796,677845.7465700004,10779.07362000001
2024-01,1759845.3178899998,1376247.2075999998,255317.27679,376346.142,472173.01543,7984.256539999999
2024-02,1845984.1749200004,1553440.4015200003,247801.12066,408458.73984000005,525373.4747,8479.421170000001
2024-03,1990028.0494899997,1431178.7220199993,307001.62487999996,397426.36844,539949.3914299998,8116.15425
2024-04,2344880.40383,1496794.5885300003,273297.05747999984,410076.02526,634154.4566000004,8576.08237
2024-05,1905635.8069499992,1436920.1308300002,271519.3244700001,403382.91082999995,593875.67141,8139.593679999998
